Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
 Albania,39.33,9.96,25.17,31.79,32.05,38.05
 Austria,82.85333333,29.80333333,57.26666667,78.67,75.55,100.14
 Belgium,85.58,30.055,58.7975,75.92,94.665,95.81
 Bosnia And Herzegovina,41.175,8.95,25.635,34.05,30.235,50.065
 Bulgaria,41.6175,9.1525,25.9625,36.51,33.9925,53.65
 Croatia,56.1575,12.39,35.0525,47.615,46.2175,56.815
 Cyprus,63.24,17.6,41.23,51.87666667,70.59666667,88.96666667
 Czech Republic,48.725,17.015,33.43,43.51,34.84,77.2125
 Denmark,93.56333333,37.43,66.49,74.27333333,108.3966667,109.71
 Estonia,58,16.05,37.765,43.86,58.37,74.625
 Finland,85.71666667,31.65333333,59.64333333,72.5,94.05,116.7633333
 France,84.155,29.19875,57.65125,78.12875,81.27625,100.41625
 Germany,75.40333333,29.855,53.43611111,59.61722222,71.62111111,128.1894444
 Greece,62.32,11.65,37.88333333,50.03333333,60.03333333,55.40333333
 Hungary,47.96,14.21,31.68,39.26,36.735,52.03
 Iceland,123.78,57.25,91.7,118.15,133.19,88.95
 Ireland,86.44,41.0975,64.5725,74.7475,88.0475,96.93
 Italy,79.91818182,27.17181818,54.48090909,69.90636364,82.97818182,76.92272727
 Latvia,54.87,15.23,35.75,42.56,51.15,53.77
 Lithuania,52.97,13.96333333,34.16,42.39666667,47.47,57.82333333
 Luxembourg,95.37,61.59,79.08,82.71,109.61,127.42
 Macedonia,38.51,9.26,24.4,30.7,29.14,41.99
 Malta,73.69,31.385,53.29,61.705,79.1,73.51
 Moldova,34.06,9.35,22.14,27.64,25.5,31.39
 Montenegro,44.68,11.1,28.48,35.64,37.75,51.8
 Netherlands,82.30571429,38.39142857,61.12857143,67.42285714,90.71714286,106.6514286
 Norway,115.5925,42.95,80.5575,105.95,130.5,107.165
 Poland,45.48363636,16.29090909,31.40545455,36.33545455,37.98454545,70.97181818
 Portugal,55.108,18.994,37.692,45.78,43.568,64.338
 Romania,39.32666667,10.09222222,25.22888889,32.80222222,32.48333333,57.45555556
 Serbia,40.07,8.493333333,24.84333333,31.06,32.69333333,42.44666667
 Slovakia,55.34666667,19.94333333,38.27,49.39,43.20666667,59.57666667
 Slovenia,65.47,20.62,43.84,54.76,57.7,74.7
 Spain,62.58181818,23,43.49363636,53.17363636,60.84545455,87.64
 Sweden,82.822,31.958,58.294,76.174,88.012,116.754
 Switzerland,130.0883333,56.05333333,94.38166667,132.235,127.77,128.865
 Ukraine,26.772,9.136,18.268,20.894,21.022,30.068
 United Kingdom,76.87888889,33.93777778,56.17074074,63.65444444,83.90148148,107.0974074
